Year,Region,Ages 18-24,Ages 25-44,Ages 45-65,Ages 65+
2024,Dublin,1325,3951,1992,120
2024,Mid-East,87,226,169,29
2024,Midlands,24,89,56,4
2024,Mid-West,92,274,156,11
2024,North-East,38,139,73,6
2024,North-West,11,77,46,5
2024,South-East,52,178,83,11
2024,South-West,82,353,151,19
2024,West,97,177,96,22
2023,Dublin,1168,3534,1847,104
2023,Mid-East,70,187,135,24
2023,Midlands,26,76,59,5
2023,Mid-West,62,206,128,10
2023,North-East,33,106,49,10
2023,North-West,16,73,34,7
2023,South-East,33,153,82,7
2023,South-West,73,338,161,12
2023,West,76,177,96,11
2022,Dublin,1010,3099,1595,89
2022,Mid-East,73,216,130,22
2022,Midlands,26,89,34,4
2022,Mid-West,61,246,101,11
2022,North-East,24,83,34,7
2022,North-West,17,67,26,4
2022,South-East,36,131,57,7
2022,South-West,77,299,174,14
2022,West,63,148,107,9
2021,Dublin,784,2432,1211,62
2021,Mid-East,59,162,108,11
2021,Midlands,25,50,17,1
2021,Mid-West,41,166,94,7
2021,North-East,10,46,20,6
2021,North-West,9,32,19,1
2021,South-East,38,118,50,8
2021,South-West,61,302,148,17
2021,West,63,190,86,12
2020,Dublin,482,2402,1209,65
2020,Mid-East,43,170,86,11
2020,Midlands,15,34,18,1
2020,Mid-West,26,167,76,5
2020,North-East,11,50,21,7
2020,North-West,18,34,19,1
2020,South-East,26,86,49,8
2020,South-West,57,272,139,17
2020,West,50,120,70,8
2019,Dublin,510,2495,1180,83
2019,Mid-East,41,166,92,11
2019,Midlands,11,51,33,3
2019,Mid-West,51,179,97,8
2019,North-East,19,64,33,11
2019,North-West,9,32,16,1
2019,South-East,30,112,55,8
2019,South-West,68,332,127,21
2019,West,45,198,102,15
2018,Dublin,565,2523,1006,81
2018,Mid-East,32,139,58,3
2018,Midlands,19,67,20,3
2018,Mid-West,52,187,108,8
2018,North-East,19,78,35,9
2018,North-West,10,23,12,1
2018,South-East,66,157,89,7
2018,South-West,65,298,116,12
2018,West,41,181,95,9
2017,Dublin,558,2353,738,63
2017,Mid-East,49,151,64,14
2017,Midlands,17,45,13,1
2017,Mid-West,48,213,75,8
2017,North-East,21,88,32,4
2017,North-West,4,23,17,2
2017,South-East,46,185,80,11
2017,South-West,47,218,82,11
2017,West,28,137,55,7
2016,Dublin,533,1987,599,43
2016,Mid-East,28,127,48,7
2016,Midlands,17,28,13,1
2016,Mid-West,43,164,73,8
2016,North-East,20,68,23,5
2016,North-West,5,19,12,0
2016,South-East,56,156,69,12
2016,South-West,34,184,71,7
2016,West,29,96,57,1
2015,Dublin,427,"1,512",532,39
2015,Rest Of Country,179,671,247,21
