Year,Month,Statistic Label,Location,UNIT,VALUE
2007,08,Residential Property Price Index,National,Index,159.0
2007,08,Residential Property Price Index,Dublin,Index,152.3
2007,08,Residential Property Price Index,National Excluding Dublin,Index,180.2
2007,09,Residential Property Price Index,National,Index,159.2
2007,09,Residential Property Price Index,Dublin,Index,153.3
2007,09,Residential Property Price Index,National Excluding Dublin,Index,180.0
2007,10,Residential Property Price Index,National,Index,158.7
2007,10,Residential Property Price Index,Dublin,Index,153.7
2007,10,Residential Property Price Index,National Excluding Dublin,Index,179.0
2007,11,Residential Property Price Index,National,Index,158.8
2007,11,Residential Property Price Index,Dublin,Index,152.4
2007,11,Residential Property Price Index,National Excluding Dublin,Index,179.7
2007,12,Residential Property Price Index,National,Index,157.6
2007,12,Residential Property Price Index,Dublin,Index,149.0
2007,12,Residential Property Price Index,National Excluding Dublin,Index,179.5
2008,01,Residential Property Price Index,National,Index,156.3
2008,01,Residential Property Price Index,Dublin,Index,144.5
2008,01,Residential Property Price Index,National Excluding Dublin,Index,179.6
2008,02,Residential Property Price Index,National,Index,154.8
2008,02,Residential Property Price Index,Dublin,Index,143.1
2008,02,Residential Property Price Index,National Excluding Dublin,Index,178.0
2008,03,Residential Property Price Index,National,Index,153.2
2008,03,Residential Property Price Index,Dublin,Index,142.4
2008,03,Residential Property Price Index,National Excluding Dublin,Index,175.8
2008,04,Residential Property Price Index,National,Index,152.1
2008,04,Residential Property Price Index,Dublin,Index,143.6
2008,04,Residential Property Price Index,National Excluding Dublin,Index,173.7
2008,05,Residential Property Price Index,National,Index,151.0
2008,05,Residential Property Price Index,Dublin,Index,145.9
2008,05,Residential Property Price Index,National Excluding Dublin,Index,171.0
2008,06,Residential Property Price Index,National,Index,149.7
2008,06,Residential Property Price Index,Dublin,Index,145.6
2008,06,Residential Property Price Index,National Excluding Dublin,Index,169.1
2008,07,Residential Property Price Index,National,Index,148.9
2008,07,Residential Property Price Index,Dublin,Index,144.0
2008,07,Residential Property Price Index,National Excluding Dublin,Index,168.5
2008,08,Residential Property Price Index,National,Index,147.5
2008,08,Residential Property Price Index,Dublin,Index,142.1
2008,08,Residential Property Price Index,National Excluding Dublin,Index,167.2
2008,09,Residential Property Price Index,National,Index,145.7
2008,09,Residential Property Price Index,Dublin,Index,137.1
2008,09,Residential Property Price Index,National Excluding Dublin,Index,166.4
2008,10,Residential Property Price Index,National,Index,143.3
2008,10,Residential Property Price Index,Dublin,Index,133.9
2008,10,Residential Property Price Index,National Excluding Dublin,Index,164.1
2008,11,Residential Property Price Index,National,Index,141.1
2008,11,Residential Property Price Index,Dublin,Index,130.5
2008,11,Residential Property Price Index,National Excluding Dublin,Index,162.1
2008,12,Residential Property Price Index,National,Index,138.3
2008,12,Residential Property Price Index,Dublin,Index,127.6
2008,12,Residential Property Price Index,National Excluding Dublin,Index,159.0
2009,01,Residential Property Price Index,National,Index,134.9
2009,01,Residential Property Price Index,Dublin,Index,123.3
2009,01,Residential Property Price Index,National Excluding Dublin,Index,155.7
2009,02,Residential Property Price Index,National,Index,131.2
2009,02,Residential Property Price Index,Dublin,Index,117.7
2009,02,Residential Property Price Index,National Excluding Dublin,Index,152.4
2009,03,Residential Property Price Index,National,Index,127.7
2009,03,Residential Property Price Index,Dublin,Index,113.0
2009,03,Residential Property Price Index,National Excluding Dublin,Index,149.0
2009,04,Residential Property Price Index,National,Index,125.1
2009,04,Residential Property Price Index,Dublin,Index,108.2
2009,04,Residential Property Price Index,National Excluding Dublin,Index,147.0
2009,05,Residential Property Price Index,National,Index,122.1
2009,05,Residential Property Price Index,Dublin,Index,105.0
2009,05,Residential Property Price Index,National Excluding Dublin,Index,143.8
2009,06,Residential Property Price Index,National,Index,120.1
2009,06,Residential Property Price Index,Dublin,Index,103.8
2009,06,Residential Property Price Index,National Excluding Dublin,Index,141.3
2009,07,Residential Property Price Index,National,Index,118.4
2009,07,Residential Property Price Index,Dublin,Index,103.3
2009,07,Residential Property Price Index,National Excluding Dublin,Index,138.8
2009,08,Residential Property Price Index,National,Index,117.2
2009,08,Residential Property Price Index,Dublin,Index,104.7
2009,08,Residential Property Price Index,National Excluding Dublin,Index,136.3
2009,09,Residential Property Price Index,National,Index,117.8
2009,09,Residential Property Price Index,Dublin,Index,105.7
2009,09,Residential Property Price Index,National Excluding Dublin,Index,136.8
2009,10,Residential Property Price Index,National,Index,116.5
2009,10,Residential Property Price Index,Dublin,Index,103.2
2009,10,Residential Property Price Index,National Excluding Dublin,Index,135.9
2009,11,Residential Property Price Index,National,Index,116.0
2009,11,Residential Property Price Index,Dublin,Index,100.3
2009,11,Residential Property Price Index,National Excluding Dublin,Index,136.3
2009,12,Residential Property Price Index,National,Index,114.4
2009,12,Residential Property Price Index,Dublin,Index,98.0
2009,12,Residential Property Price Index,National Excluding Dublin,Index,135.0
2010,01,Residential Property Price Index,National,Index,113.3
2010,01,Residential Property Price Index,Dublin,Index,95.2
2010,01,Residential Property Price Index,Dublin,Index,94.4
2010,01,Residential Property Price Index,Rest Of Country,Index,95.4
2010,01,Residential Property Price Index,Rest Of Country,Index,98.9
2010,01,Residential Property Price Index,Dublin,Index,93.7
2010,01,Residential Property Price Index,National Excluding Dublin,Index,134.5
2010,01,Residential Property Price Index,Rest Of Country,Index,172.3
2010,01,Residential Property Price Index,Rest Of Country,Index,159.3
2010,01,Residential Property Price Index,Rest Of Country,Index,153.8
2010,01,Residential Property Price Index,Rest Of Country,Index,114.4
2010,01,Residential Property Price Index,Rest Of Country,Index,152.6
2010,01,Residential Property Price Index,Rest Of Country,Index,139.8
2010,01,Residential Property Price Index,Rest Of Country,Index,125.6
2010,02,Residential Property Price Index,National,Index,111.5
2010,02,Residential Property Price Index,Dublin,Index,92.7
2010,02,Residential Property Price Index,Dublin,Index,91.0
2010,02,Residential Property Price Index,Rest Of Country,Index,93.2
2010,02,Residential Property Price Index,Rest Of Country,Index,96.7
2010,02,Residential Property Price Index,Dublin,Index,92.5
2010,02,Residential Property Price Index,National Excluding Dublin,Index,133.0
2010,02,Residential Property Price Index,Rest Of Country,Index,170.0
2010,02,Residential Property Price Index,Rest Of Country,Index,157.3
2010,02,Residential Property Price Index,Rest Of Country,Index,151.5
2010,02,Residential Property Price Index,Rest Of Country,Index,112.7
2010,02,Residential Property Price Index,Rest Of Country,Index,154.2
2010,02,Residential Property Price Index,Rest Of Country,Index,139.5
2010,02,Residential Property Price Index,Rest Of Country,Index,124.5
2010,03,Residential Property Price Index,National,Index,110.2
2010,03,Residential Property Price Index,Dublin,Index,90.6
2010,03,Residential Property Price Index,Dublin,Index,88.4
2010,03,Residential Property Price Index,Rest Of Country,Index,90.6
2010,03,Residential Property Price Index,Rest Of Country,Index,94.7
2010,03,Residential Property Price Index,Dublin,Index,91.2
2010,03,Residential Property Price Index,National Excluding Dublin,Index,132.5
2010,03,Residential Property Price Index,Rest Of Country,Index,169.1
2010,03,Residential Property Price Index,Rest Of Country,Index,155.5
2010,03,Residential Property Price Index,Rest Of Country,Index,150.3
2010,03,Residential Property Price Index,Rest Of Country,Index,112.0
