STATISTIC Label,Year,Number of Bedrooms,Property Type,Location,UNIT,VALUE
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,748.48
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,811.53
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,711.35
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,720.04
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,571.72
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,598.44
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,598.74
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,598.45
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,481.83
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,529.43
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,661.38
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,624.92
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,695.44
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,684.84
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,722.54
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,666.26
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,756.08
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,719.62
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,900.18
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,975.14
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,991.98
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,975.4
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1095.57
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,795.46
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,629.08
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1137.84
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,911.24
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1032.77
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,886.97
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,921.6
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,883.59
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,753.56
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,702.43
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,773.04
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,763.69
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,790.44
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,891.76
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1049.83
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,603.72
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,733.5
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1041.18
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,957.09
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,674.55
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,979.61
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,737.62
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,718.06
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,867.24
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,669.92
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,631.92
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,927.05
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,903.06
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,774.57
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1041.29
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,621.75
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,919.77
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1028.27
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,835.11
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,995.06
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,710.1
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,572.69
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,687.06
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,592.78
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,557.72
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,535.57
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,575.69
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,533.44
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,580.95
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1271.31
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1033.33
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1587.1
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1656.82
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1655.47
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1146.57
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1317.62
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1711.18
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1554.78
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1709.93
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1215.97
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1222.88
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1153.0
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1551.02
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1307.37
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1812.87
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1335.71
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1075.32
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1075.08
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1290.94
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1574.68
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1382.3
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1106.63
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1569.16
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1199.3
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1188.25
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1432.67
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1350.73
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1577.19
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1152.31
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1411.67
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1167.63
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1506.83
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1730.83
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1900.14
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1250.05
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1326.09
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1282.37
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1433.04
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1380.49
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1223.11
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1090.18
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1296.43
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1180.75
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1248.92
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1027.2
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1402.29
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1205.83
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1560.94
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1663.48
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1596.87
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1448.67
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1537.82
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1486.65
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1388.12
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1699.94
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1310.33
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1311.11
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1355.05
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1364.24
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1144.6
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1617.24
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1257.4
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1571.02
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1214.98
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1087.8
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1020.72
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1209.66
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1305.75
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1266.89
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1398.68
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1377.96
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1072.03
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,975.62
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1257.82
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1054.26
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,923.23
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1350.53
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1121.28
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1137.82
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1205.7
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1252.24
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1167.92
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1126.94
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1186.22
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1061.42
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1163.81
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,999.71
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1200.94
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1062.82
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1270.22
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1185.45
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1180.05
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1209.37
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1329.95
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1118.12
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1142.93
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1165.29
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1053.47
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1162.89
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1283.6
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1220.22
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1121.14
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1250.85
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1202.99
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1314.96
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1219.7
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1255.35
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1326.09
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1353.86
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1367.45
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1225.21
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1248.36
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1520.74
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1540.92
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1609.69
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1668.72
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1508.56
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1723.53
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1405.11
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1238.67
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1264.46
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1173.63
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1206.77
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1329.97
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1184.51
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1236.59
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1128.62
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1130.96
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1150.17
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1164.3
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1229.28
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1280.1
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1433.48
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1449.51
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1511.46
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1382.82
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1408.48
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1444.15
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1257.57
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1274.2
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1511.58
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1417.59
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1585.89
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,2145.79
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1599.26
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1456.24
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1418.47
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1198.25
