Year,Dublin Mean,National Mean,National Excl Dublin Mean,Dublin Mean Range,Dublin Mean Max Year,Dublin Mean Min Year,National Mean Range,National Mean Max Year,National Mean Min Year,National Excl Dublin Mean Range,National Excl Dublin Mean Max Year,National Excl Dublin Mean Min Year
2007,152.0,159.0,180.0,,,,,,,,,
2008,140.0,148.0,170.0,,,,,,,,,
2009,107.0,122.0,142.0,,,,,,,,,
2010,88.0,106.0,126.0,,,,,,,,,
2011,76.0,88.0,104.0,,,,,,,,,
2012,65.0,77.0,88.0,,,,,,,,,
2013,72.0,77.0,82.0,,,,,,,,,
2014,90.0,90.0,88.0,,,,,,,,,
2015,100.0,100.0,100.0,,,,,,,,,
2016,103.0,107.0,110.0,,,,,,,,,
2017,114.0,119.0,123.0,,,,,,,,,
2018,123.0,131.0,137.0,,,,,,,,,
2019,124.0,134.0,144.0,,,,,,,,,
2020,122.0,135.0,145.0,,,,,,,,,
2021,133.0,146.0,158.0,,,,,,,,,
2022,147.0,165.0,181.0,,,,,,,,,
2023,148.0,170.0,190.0,,,,,,,,,
2024,160.0,182.0,203.0,,,,,,,,,
,,,,95.0,2024.0,2012.0,105.0,2024.0,2012.0,121.0,2024.0,2013.0
