Year,Dublin Mean Rent,Rest of Country Mean Rent,Dublin Mean Rent Range,Dublin Mean Rent Max Year,Dublin Mean Rent Min Year,Rest of Country Mean Rent Range,Rest of Country Mean Rent Max Year,Rest of Country Mean Rent Min Year
2008,1338.23,781.99,,,,,,
2009,1219.28,716.43,,,,,,
2010,1105.67,653.9,,,,,,
2011,1071.7,624.04,,,,,,
2012,1085.21,614.66,,,,,,
2013,1125.03,614.2,,,,,,
2014,1214.34,634.69,,,,,,
2015,1323.41,676.55,,,,,,
2016,1435.08,720.1,,,,,,
2017,1539.55,783.71,,,,,,
2018,1671.17,846.09,,,,,,
2019,1764.5,893.33,,,,,,
2020,1811.68,923.24,,,,,,
2021,1825.41,970.42,,,,,,
2022,1913.87,1043.23,,,,,,
2023,2010.91,1127.6,,,,,,
,,,939.21,2023.0,2011.0,513.4,2023.0,2013.0
