Year,Region,Totals,Ages 18-24,Ages 25-44,Ages 45-65,Ages 65+,estimates
2024,Dublin,7388,1325,3951,1992,120,
2024,Mid-East,511,87.2,226,169,29,
2024,Midlands,173,24,89,56,4,
2024,Mid-West,533,92,274,156,11,
2024,North-East,256,38,139,73,6,
2024,North-West,139,11,77,46,5,
2024,South-East,324,52,178,83.2,11,
2024,South-West,605,82,353,151,19,
2024,West,392,97,177,96,22,
2024,TOTAL,10321,1808.2,5464,2822,227,
2023,Dublin,6653,1168,3534,1847,104,
2023,Mid-East,416,70,187,135,24,
2023,Midlands,166,26,76,59,5,
2023,Mid-West,406,62,206,128,10,
2023,North-East,198,33,106,49,10,
2023,North-West,130,16,73,34,7,
2023,South-East,275,33,153,82,7,
2023,South-West,584,73,338,161,12,
2023,West,360,76,177,96,11,
2023,TOTAL,9188,1557,4850,2591,190,
2022,Dublin,5793,1010,3099,1595,89,
2022,Mid-East,441,73,216,130,22,
2022,Midlands,153,26,89,34,4,
2022,Mid-West,419,61,246,101,11,
2022,North-East,148,24,83,34,7,
2022,North-West,114,17,67,26,4,
2022,South-East,231,36,131,57,7,
2022,South-West,564,77,299,174,14,
2022,West,327,63,148,107,9,
2022,TOTAL,8190,1387,4378,2258,167,
2021,Dublin,4489.6,784,2432,1211,62,
2021,Mid-East,340,59,162,108,11,
2021,Midlands,93,25,50,17,1,
2021,Mid-West,308,41,166,94,7,
2021,North-East,82,10,46,20,6,
2021,North-West,61,9,32,19,1,
2021,South-East,214,38,118,50,8,
2021,South-West,528,61,302,148,17,
2021,West,351,63,190,86,12,
2021,TOTAL,6466.6,1090,3498,1753,125,
2020,Dublin,4158,482,2402,1209,65,
2020,Mid-East,310,43,170,86,11,
2020,Midlands,68,15,34,18,1,
2020,Mid-West,274,26,167,76,5,
2020,North-East,89,11,50,21,7,
2020,North-West,72,18,34,19,1,
2020,South-East,169,26,86,49,8,
2020,South-West,485,57,272,139,17,
2020,West,248,50,120,70,8,
2020,TOTAL,5873,728,3335.7,1687,123,
2019,Dublin,4268,510,2495,1180,83,
2019,Mid-East,310,41,166,92,11,
2019,Midlands,98,11,51,33,3,
2019,Mid-West,335,51,179,97,8,
2019,North-East,127,19,64,33,11,
2019,North-West,58,9,32,16,1,
2019,South-East,205,30,112,55,8,
2019,South-West,548,68,332,127,21,
2019,West,360,45,198,102,15,
2019,TOTAL,6309,1512,3629,1735,161,
2018,Dublin,4175,565,2523,1006,81,
2018,Mid-East,232,32,139,58,3,
2018,Midlands,109,19,67,20,3.5,
2018,Mid-West,355,52,187,108,8,
2018,North-East,141,19,78,35,9,
2018,North-West,46,10,23,12,1,
2018,South-East,319,66,157,89,7,
2018,South-West,491,65,298,116,12,
2018,West,326,41,181,95,9,
2018,TOTAL,6194,869,3653,1539,133,
2017,Dublin,3712,558,2353,738,63,
2017,Mid-East,278,49,151,64,14,
2017,Midlands,76,17,45,13,1,
2017,Mid-West,344,48,213,75,8,
2017,North-East,145,21,88,32,4,
2017,North-West,46,4,23,17,2,
2017,South-East,322,46,185,80,11,
2017,South-West,358,47,218,82,11,
2017,West,227,28,137,55,7,
2017,TOTAL,5508,818,3413,1156.5,121,
2016,Dublin,3162.8,533,1987,599,43,
2016,Mid-East,210,28,127,48,7,
2016,Midlands,59,17,28,13,1,
2016,Mid-West,288,43,164,73,8,
2016,North-East,116,20,68,23,5,
2016,North-West,36,5,19,12,0,
2016,South-East,293,56,156,69,12,
2016,South-West,296,34,184,71,7,
2016,West,183,29,96,57,1,
2016,TOTAL,4643,1583,2829,965,84,
2015,Dublin,2506,427,"1,512",532,39,estimates
2015,Rest Of Country,1097,179,671,247,21,estimates
2015,TOTAL,3625,602,2183,,60,estimates
2024,Dublin,7388,1325,3951,1992,120,
2024,Mid-East,511,87.2,226,169,29,
2024,Midlands,173,24,89,56,4,
2024,Mid-West,533,92,274,156,11,
2024,North-East,256,38,139,73,6,
2024,North-West,139,11,77,46,5,
2024,South-East,324,52,178,83.2,11,
2024,South-West,605,82,353,151,19,
2024,West,392,97,177,96,22,
,,,,,,,
2023,Dublin,6653,1168,3534,1847,104,
2023,Mid-East,416,70,187,135,24,
2023,Midlands,166,26,76,59,5,
2023,Mid-West,406,62,206,128,10,
2023,North-East,198,33,106,49,10,
2023,North-West,130,16,73,34,7,
2023,South-East,275,33,153,82,7,
2023,South-West,584,73,338,161,12,
2023,West,360,76,177,96,11,
2023,TOTAL,9188,1557,4850,2591,,
2017,Dublin,3712,558,2353,738,63,
2017,Mid-East,278,49,151,64,14,
2017,Midlands,76,17,45,13,1,
2017,Mid-West,344,48,213,75,8,
2017,North-East,145,21,88,32,4,
2017,North-West,46,4,23,17,2,
2017,South-East,322,46,185,80,11,
2017,South-West,358,47,218,82,11,
2017,West,227,28,137,55,7,
