Statistic Label,MONTH,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2007 July,Midland - houses,Base,
Residential Property Price Index,2007 July,West - houses,Base,
Residential Property Price Index,2007 July,Mid-East - houses,Base,
Residential Property Price Index,2007 July,Mid-West - houses,Base,
Residential Property Price Index,2007 July,South-East - houses,Base,
Residential Property Price Index,2007 July,South-West - houses,Base,
Residential Property Price Index,2007 August,National - houses,Base,159
Residential Property Price Index,2007 August,Dublin - houses,Base,152.3
Residential Property Price Index,2007 August,Dublin City - houses,Base,
Residential Property Price Index,2007 August,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2007 August,Fingal - houses,Base,
Residential Property Price Index,2007 August,South Dublin - houses,Base,
Residential Property Price Index,2007 August,National excluding Dublin - houses,Base,180.2
Residential Property Price Index,2007 August,Border - houses,Base,
Residential Property Price Index,2007 August,Midland - houses,Base,
Residential Property Price Index,2007 August,West - houses,Base,
Residential Property Price Index,2007 August,Mid-East - houses,Base,
Residential Property Price Index,2007 August,Mid-West - houses,Base,
Residential Property Price Index,2007 August,South-East - houses,Base,
Residential Property Price Index,2007 August,South-West - houses,Base,
Residential Property Price Index,2007 September,National - houses,Base,159.2
Residential Property Price Index,2007 September,Dublin - houses,Base,153.3
Residential Property Price Index,2007 September,Dublin City - houses,Base,
Residential Property Price Index,2007 September,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2007 September,Fingal - houses,Base,
Residential Property Price Index,2007 September,South Dublin - houses,Base,
Residential Property Price Index,2007 September,National excluding Dublin - houses,Base,180
Residential Property Price Index,2007 September,Border - houses,Base,
Residential Property Price Index,2007 September,Midland - houses,Base,
Residential Property Price Index,2007 September,West - houses,Base,
Residential Property Price Index,2007 September,Mid-East - houses,Base,
Residential Property Price Index,2007 September,Mid-West - houses,Base,
Residential Property Price Index,2007 September,South-East - houses,Base,
Residential Property Price Index,2007 September,South-West - houses,Base,
Residential Property Price Index,2007 October,National - houses,Base,158.7
Residential Property Price Index,2007 October,Dublin - houses,Base,153.7
Residential Property Price Index,2007 October,Dublin City - houses,Base,
Residential Property Price Index,2007 October,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2007 October,Fingal - houses,Base,
Residential Property Price Index,2007 October,South Dublin - houses,Base,
Residential Property Price Index,2007 October,National excluding Dublin - houses,Base,179
Residential Property Price Index,2007 October,Border - houses,Base,
Residential Property Price Index,2007 October,Midland - houses,Base,
Residential Property Price Index,2007 October,West - houses,Base,
Residential Property Price Index,2007 October,Mid-East - houses,Base,
Residential Property Price Index,2007 October,Mid-West - houses,Base,
Residential Property Price Index,2007 October,South-East - houses,Base,
Residential Property Price Index,2007 October,South-West - houses,Base,
Residential Property Price Index,2007 November,National - houses,Base,158.8
Residential Property Price Index,2007 November,Dublin - houses,Base,152.4
Residential Property Price Index,2007 November,Dublin City - houses,Base,
Residential Property Price Index,2007 November,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2007 November,Fingal - houses,Base,
Residential Property Price Index,2007 November,South Dublin - houses,Base,
Residential Property Price Index,2007 November,National excluding Dublin - houses,Base,179.7
Residential Property Price Index,2007 November,Border - houses,Base,
Residential Property Price Index,2007 November,Midland - houses,Base,
Residential Property Price Index,2007 November,West - houses,Base,
Residential Property Price Index,2007 November,Mid-East - houses,Base,
Residential Property Price Index,2007 November,Mid-West - houses,Base,
Residential Property Price Index,2007 November,South-East - houses,Base,
Residential Property Price Index,2007 November,South-West - houses,Base,
Residential Property Price Index,2007 December,National - houses,Base,157.6
Residential Property Price Index,2007 December,Dublin - houses,Base,149
Residential Property Price Index,2007 December,Dublin City - houses,Base,
Residential Property Price Index,2007 December,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2007 December,Fingal - houses,Base,
Residential Property Price Index,2007 December,South Dublin - houses,Base,
Residential Property Price Index,2007 December,National excluding Dublin - houses,Base,179.5
Residential Property Price Index,2007 December,Border - houses,Base,
Residential Property Price Index,2007 December,Midland - houses,Base,
Residential Property Price Index,2007 December,West - houses,Base,
Residential Property Price Index,2007 December,Mid-East - houses,Base,
Residential Property Price Index,2007 December,Mid-West - houses,Base,
Residential Property Price Index,2007 December,South-East - houses,Base,
Residential Property Price Index,2007 December,South-West - houses,Base,
Residential Property Price Index,2008 January,National - houses,Base,156.3
Residential Property Price Index,2008 January,Dublin - houses,Base,144.5
Residential Property Price Index,2008 January,Dublin City - houses,Base,
Residential Property Price Index,2008 January,Dun Laoghaire-Rathdown - houses,Base,
